pulm_2;pulm_1;by;score_new;score_old;diff(new-old);n;fixed_length;n
pulmonic;ejective;('s08', 'question', 'labial', 'a');0,817985045;0,816214089;0,001770956;5082;0.807162534435;
pulmonic;ejective;('s08', 'answer', 'labial', 'a');0,878411306;0,867202729;0,011208577;4104;0.844785575049;
pulmonic;ejective;('s09', 'answer', 'labial', 'a');0,748214286;0,522321429;0,225892857;3360;0.721726190476;
pulmonic;ejective;('s09', 'question', 'labial', 'a');0,845520422;0,427536232;0,41798419;3036;0.878458498024;
ejective;pulmonic;('s08', 'answer', 'labial', 'a');0,835326954;0,910287081;-0,074960128;2508;0.928229665072;
ejective;pulmonic;('s08', 'question', 'labial', 'a');0,94214876;0,965702479;-0,023553719;2420;0.977272727273;
ejective;pulmonic;('s09', 'answer', 'labial', 'a');0,908163265;0,415816327;0,492346939;1176;0.965136054422;
ejective;pulmonic;('s09', 'question', 'labial', 'a');0,865217391;0,694202899;0,171014493;690;0.905797101449;
pulmonic;ejective;('s08', 'question', 'velar', 'a');0,929824561;0,877192982;0,052631579;342;0.804093567251;
pulmonic;ejective;('s09', 'question', 'velar', 'e');0,857142857;0,580357143;0,276785714;112;0.616071428571;
pulmonic;ejective;('s08', 'question', 'coronal', 'e');0,991071429;0,991071429;0;112;1.0;
pulmonic;ejective;('s09', 'question', 'coronal', 'e');0,821428571;0,4375;0,383928571;112;0.857142857143;
pulmonic;ejective;('s09', 'answer', 'coronal', 'e');0,654761905;0,333333333;0,321428571;84;0.845238095238;
pulmonic;ejective;('s08', 'answer', 'velar', 'e');0,595238095;0,380952381;0,214285714;84;0.607142857143;
pulmonic;ejective;('s09', 'answer', 'velar', 'e');0,761904762;0,523809524;0,238095238;84;0.797619047619;
pulmonic;ejective;('s08', 'answer', 'coronal', 'e');1;1;0;84;1.0;
pulmonic;ejective;('s08', 'question', 'velar', 'e');0,880952381;0,857142857;0,023809524;42;0.809523809524;
ejective;pulmonic;('s09', 'question', 'velar', 'e');1;0,375;0,625;16;1.0;
ejective;pulmonic;('s08', 'question', 'coronal', 'e');1;1;0;16;1.0;
ejective;pulmonic;('s09', 'question', 'coronal', 'e');1;0,75;0,25;16;1.0;
ejective;pulmonic;('s09', 'answer', 'coronal', 'e');1;0,571428571;0,428571429;14;1.0;
ejective;pulmonic;('s08', 'answer', 'velar', 'e');1;1;0;14;1.0;
ejective;pulmonic;('s09', 'answer', 'velar', 'e');1;0,142857143;0,857142857;14;1.0;
ejective;pulmonic;('s08', 'answer', 'coronal', 'e');1;1;0;14;1.0;
ejective;pulmonic;('s08', 'answer', 'coronal', 'o');1;1;0;4;1.0;
pulmonic;ejective;('s08', 'answer', 'coronal', 'o');1;1;0;4;1.0;
ejective;pulmonic;('s09', 'question', 'coronal', 'o');1;1;0;4;1.0;
pulmonic;ejective;('s09', 'question', 'coronal', 'o');1;0,75;0,25;4;1.0;
ejective;pulmonic;('s08', 'question', 'coronal', 'o');0;1;-1;2;0.5;